id,latitude,longitude,crime_type,timestamp,area_name
570589f85bb6,12.982562,77.613076,murder,2025-01-17T01:40:00,mg road
ba751140dfb4,12.920429,77.605229,murder,2025-01-20T06:59:00,btm layout
2690732a82a9,12.911182,77.626593,murder,2025-01-09T22:58:00,silk board
1e2d157d056b,12.965584,77.697641,murder,2025-01-21T14:51:00,marathahalli
31a0b4e82913,12.968845,77.596519,murder,2025-01-14T00:38:00,richmond town
20fe73b44221,12.896915,77.616295,murder,2025-01-13T20:50:00,bommanahalli
5cc20e669ec0,12.90285,77.67736,murder,2025-01-07T07:15:00,sarjapur road
70829f7146b5,13.01652,77.702006,murder,2025-01-15T11:33:00,kr puram
8d503ca20bf5,12.96722,77.757126,murder,2025-01-07T16:20:00,whitefield
77e3bccbb412,12.997737,77.614734,murder,2025-01-06T02:33:00,frazer town
4da3e906fc40,13.039361,77.595069,murder,2025-01-10T22:26:00,hebbal
8b4b91bf3cc3,12.969208,77.527305,murder,2025-01-12T05:21:00,vijayanagar
5c945c02b513,13.099612,77.603094,murder,2025-01-15T22:42:00,yelahanka
b75d2c056219,12.987832,77.612079,murder,2025-01-15T03:52:00,shivajinagar
709e29955997,12.968672,77.526248,murder,2025-01-01T04:45:00,vijayanagar
f23cfe24cd4b,12.883086,77.555113,murder,2025-01-11T07:19:00,kanakapura road
c158f159837c,12.927567,77.541571,murder,2025-01-02T22:25:00,banashankari
7d70626f12ce,12.923088,77.619789,murder,2025-01-13T21:59:00,madiwala
8a43abd53014,12.968744,77.755933,murder,2025-01-05T10:55:00,whitefield
0ddb0a9058aa,12.948348,77.588717,murder,2025-01-25T15:52:00,wilson garden
b34ac80acf4b,12.927108,77.549282,murder,2025-01-27T06:57:00,banashankari
1f639d70722f,12.925754,77.588217,murder,2025-01-20T09:53:00,jayanagar
49c5b66dc6e7,12.97546,77.59009,murder,2025-01-11T07:13:00,cubbon park
25a8b0a8e27b,12.926676,77.616034,murder,2025-01-06T01:10:00,madiwala
e6b606e50e1a,12.997726,77.613938,murder,2025-01-01T13:01:00,frazer town
cb0ae33b2824,12.844166,77.681266,murder,2025-01-09T05:31:00,electronic city
cb58d61f40b4,12.919486,77.544832,murder,2025-01-03T08:57:00,banashankari
b0968fa047e9,12.939709,77.61867,murder,2025-01-21T09:34:00,koramangala
62bab03f88a0,12.929352,77.577764,murder,2025-01-15T03:32:00,jayanagar
4041cb133795,12.89089,77.600264,murder,2025-01-10T07:02:00,bannerghatta road
800f47886821,12.968112,77.585975,murder,2025-01-17T16:34:00,richmond town
69fe4e0fe519,12.986498,77.603117,murder,2025-01-15T08:37:00,shivajinagar
08329b4e63b6,12.915976,77.615425,murder,2025-01-19T23:58:00,silk board
17f0070f8e30,12.90887,77.683997,murder,2025-01-17T10:50:00,sarjapur road
01e1d87ef1b6,12.982683,77.587218,murder,2025-01-20T22:28:00,cubbon park
4ada836865e6,12.877088,77.61624,murder,2025-01-14T23:39:00,begur
db6598436829,13.017084,77.547146,murder,2025-01-07T08:45:00,yeshwanthpur
b94b194d3b39,12.912681,77.586205,murder,2025-01-09T11:42:00,jp nagar
a7bdf76f43f7,12.917885,77.629678,murder,2025-01-23T22:22:00,silk board
ecf4bcd0e2c0,12.999581,77.580579,murder,2025-01-01T07:54:00,sadashivanagar
e8523108b93d,12.834231,77.681926,murder,2025-01-27T02:40:00,electronic city
2cdc1481dbef,12.884661,77.598145,murder,2025-01-06T23:13:00,bannerghatta road
6099cc9ba285,12.955865,77.599283,murder,2025-01-10T04:28:00,richmond town
357dd1100a2f,13.024782,77.517473,murder,2025-01-16T09:55:00,peenya
d1bde6432df6,12.888371,77.550162,murder,2025-01-17T06:53:00,kanakapura road
f9effc8b5f93,12.877347,77.617024,murder,2025-01-06T20:23:00,begur
e280cb379b1e,12.91672,77.67439,murder,2025-01-10T22:59:00,sarjapur road
7efb6e3f1bae,12.931652,77.58122,murder,2025-01-12T16:58:00,jayanagar
c4f8d2a7a350,13.021507,77.516084,murder,2025-01-07T16:24:00,peenya
9d52777a35b4,12.931556,77.548863,murder,2025-01-21T16:42:00,banashankari
cda4d642eccf,12.984255,77.618892,murder,2025-01-06T06:35:00,ulsoor
8f027b0c1155,12.845376,77.68332,murder,2025-01-22T12:34:00,electronic city
fda41920438f,12.957478,77.696179,murder,2025-01-10T02:45:00,marathahalli
343af51cf30a,12.972132,77.602766,murder,2025-01-06T10:53:00,brigade road
8131dc46d598,12.918821,77.613564,murder,2025-01-28T02:42:00,madiwala
4e829afdfbbf,12.978058,77.619471,murder,2025-01-14T23:06:00,ulsoor
