ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,21,3,3,3
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,16,4,4,6
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,18,3,7,2
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,10,4,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,7,1,2,2
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,2,0,2,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,7,1,3,2
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,35,9,2,10
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,5,0,2,0
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,2,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,20,2,7,2
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,37,8,9,5
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,1,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,421,59,88,94
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,12,2,4,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,54,6,11,10
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,39,3,9,9
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,12,0,2,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,15,1,1,5
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,4,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,12,4,4,3
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,3,0,1,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,1,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,9,0,2,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,0,1,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,86,14,16,18
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,94,9,27,21
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Village Dispute,8,1,4,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Other Causes,827,103,160,171
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Civil Disputes,152,29,30,40
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,1,0,0,1
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,0,0,0,0
