id,latitude,longitude,crime_type,timestamp,area_name
SR000001,12.935029,77.631797,cyber_crime,2025-02-07T12:20:00,koramangala
SR000002,12.928433,77.614684,cyber_crime,2023-10-11T15:58:00,madiwala
SR000003,13.0067688,77.58006218,cyber_crime,2024-04-13T02:26:00,sadashivanagar
SR000004,13.002028,77.616233,child_abuse,2023-10-25T23:00:00,frazer town
SR000005,12.965595,77.694422,accident,2025-02-10T11:15:00,marathahalli
SR000006,12.914505,77.578651,assault,2024-04-04T01:01:00,jp nagar
SR000007,12.969721,77.572155,robbery,2024-04-10T19:06:00,majestic
SR000008,12.964816,77.61074,assault,2022-05-27T00:59:00,brigade road
SR000009,12.897839,77.616702,cyber_crime,2024-04-03T22:39:00,bommanahalli
SR000010,12.968168,77.636745,child_abuse,2024-04-16T18:33:00,domlur
SR000011,12.974302,77.601763,robbery,2021-10-16T19:22:00,brigade road
SR000012,13.016905,77.692971,theft,2025-04-08T17:40:00,kr puram
SR000013,12.966636,77.754449,accident,2023-10-09T02:47:00,whitefield
SR000014,12.908832,77.637362,other,2021-10-24T06:06:00,hsr layout
SR000015,13.034603,77.604012,accident,2025-02-21T12:24:00,hebbal
SR000016,13.013168,77.70227,assault,2023-10-27T11:21:00,kr puram
SR000017,12.931791,77.620403,accident,2024-04-13T20:19:00,koramangala
SR000018,12.96417726,77.75694685,other,2022-05-26T18:32:00,whitefield
SR000019,12.984818,77.640074,excise_violation,2025-10-01T14:29:00,indiranagar
SR000020,13.033573,77.520183,accident,2022-05-18T19:18:00,peenya
SR000021,12.957997,77.595434,accident,2022-05-20T10:27:00,richmond town
SR000022,12.8764,77.581172,theft,2018-02-07T22:32:00,K S Layout
SR000023,12.95307131,77.59663358,molestation,2022-05-23T10:15:00,wilson garden
SR000024,12.948703,77.578742,theft,2018-05-15T00:00:00,Jayanagar
SR000025,12.907016,77.578821,culpable_homicide,2021-10-10T21:43:00,jp nagar
SR000026,12.970443,77.746404,other,2025-10-15T10:59:00,whitefield
SR000027,12.914162,77.682289,accident,2025-02-02T05:00:00,sarjapur road
SR000028,12.97934,77.569909,excise_violation,2025-01-07T12:18:00,majestic
SR000029,12.963251,77.637333,rioting,2023-10-07T11:15:00,domlur
