id,latitude,longitude,crime_type,timestamp,area_name
c3b4a02afc64,12.834293,77.672281,chain_snatching,2019-05-20T19:56:00,electronic city
2e083fdf4c6e,13.011468,77.579566,murder,2019-05-22T02:55:00,sadashivanagar
1cde0c4c8974,12.930155,77.582176,domestic_violence,2019-05-22T19:36:00,jayanagar
616d86f0e9ba,12.932771,77.625768,narcotics,2019-05-23T05:50:00,koramangala
ec0f2dca61d9,12.975219,77.593967,sexual_harassment,2019-05-17T15:42:00,cubbon park
51f7d16a111d,12.969016,77.603068,chain_snatching,2019-05-21T01:50:00,mg road
8d942374fad6,12.957203,77.700626,sexual_harassment,2019-05-17T23:33:00,marathahalli
dabd54c0b911,13.007185,77.700284,narcotics,2019-05-16T20:23:00,kr puram
4ec0a1c6d66b,12.992008,77.599678,assault,2019-05-17T19:53:00,shivajinagar
b3f0f285ecf9,13.01635,77.701035,assault,2019-05-08T17:38:00,kr puram
e0b0fb029c70,12.935661,77.624535,murder,2019-05-09T22:15:00,koramangala
195c8b6f708b,12.842343,77.676129,cheating,2019-05-05T19:18:00,electronic city
aa44162bef53,12.973969,77.60938,assault,2019-05-07T16:40:00,brigade road
cbd80a801644,12.973636,77.752824,extortion,2019-05-06T09:24:00,whitefield
47bce34673d9,13.021321,77.555995,murder,2019-05-06T12:07:00,yeshwanthpur
f268f2ff534f,12.930277,77.549801,arson,2019-05-05T20:42:00,banashankari
88cd03b9214b,12.980853,77.560838,sexual_harassment,2019-05-10T07:58:00,rajajinagar
36e541281ed2,12.916921,77.635522,theft,2019-05-10T12:32:00,hsr layout
619c615d2237,13.029596,77.520971,murder,2019-05-11T14:41:00,peenya
9aa78ad3824f,12.927961,77.582972,assault,2019-05-13T17:46:00,jayanagar
6f1d3521bf62,13.10411,77.601197,accident,2019-05-12T14:41:00,yelahanka
bcc5c50a8043,12.925179,77.549864,assault,2019-05-12T04:58:00,banashankari
52d26fd3d8ee,12.932066,77.623707,rioting,2019-05-14T11:41:00,koramangala
d065de93cf59,12.972263,77.75275,sexual_harassment,2019-05-13T21:55:00,whitefield
e0a0d7176cb1,12.914689,77.608791,assault,2019-05-14T22:55:00,btm layout
ab1d2a5d36cb,13.106702,77.600485,murder,2019-04-25T12:02:00,yelahanka
92e65f9f8dc3,12.969824,77.593778,robbery,2019-05-14T05:00:00,richmond town
20aa2da13940,12.971921,77.755923,burglary,2019-04-26T06:02:00,whitefield
56ec2f9391aa,13.100833,77.596644,assault,2019-04-25T13:23:00,yelahanka
