id,latitude,longitude,crime_type,timestamp,area_name
0c5e13294082,12.979288,77.587648,murder,2022-05-09T00:19:00,cubbon park
ec47c8166b86,12.914064,77.621722,murder,2022-05-19T10:35:00,silk board
54692a75557b,12.984696,77.600298,murder,2022-05-03T10:38:00,shivajinagar
873eef12aad5,12.948846,77.591505,murder,2022-05-16T15:47:00,wilson garden
0d011f93f429,12.98425,77.6153,murder,2022-05-12T21:24:00,ulsoor
c51c938c9161,12.971438,77.638029,murder,2022-05-02T16:03:00,indiranagar
09330cc498fb,12.94136,77.620131,murder,2022-05-25T19:52:00,koramangala
998e5ca5c34b,12.920511,77.623699,murder,2022-05-07T13:08:00,silk board
1800f7c9bd0f,12.974625,77.60085,murder,2022-05-02T13:07:00,brigade road
8bcdc3296980,12.958518,77.586462,murder,2022-05-22T02:17:00,richmond town
a1c0d23f15c9,12.987304,77.533917,murder,2022-05-13T23:12:00,basaveshwaranagar
e96bedfcb352,12.983249,77.627436,murder,2022-05-20T20:25:00,ulsoor
c7084ff1da66,12.875556,77.620603,murder,2022-05-08T18:33:00,begur
b44310db7046,12.972737,77.602333,murder,2022-05-28T10:15:00,brigade road
2ad1444cdeb6,12.965374,77.599998,murder,2022-05-19T11:06:00,richmond town
a5d09d21727a,12.971561,77.539931,murder,2022-05-21T18:22:00,vijayanagar
d76d09059aa6,13.033512,77.524849,murder,2022-05-03T06:11:00,peenya
64d43738dbe7,12.974081,77.538472,murder,2022-05-12T08:13:00,vijayanagar
412ef3345e48,12.975315,77.610804,murder,2022-05-02T07:58:00,brigade road
d06aeefe37e2,12.896036,77.611197,murder,2022-05-19T16:22:00,bommanahalli
5d96a41e8de3,12.960737,77.596979,murder,2022-05-06T23:55:00,richmond town
8ceddd085c06,12.947417,77.593387,murder,2022-05-25T02:15:00,wilson garden
d20d8783002a,12.999481,77.568688,murder,2022-05-04T18:13:00,malleshwaram
cc584ec948bc,12.960866,77.600354,murder,2022-05-22T19:44:00,richmond town
1833b98598db,12.960586,77.593462,murder,2022-05-05T02:50:00,richmond town
607705d89d2d,12.914128,77.683655,murder,2022-05-15T18:52:00,sarjapur road
0b787158ae27,12.906596,77.644108,murder,2022-05-04T04:58:00,hsr layout
c1dbf5bc03c3,13.029721,77.592585,murder,2022-05-23T09:54:00,hebbal
364d7bf035d8,13.003977,77.57973,murder,2022-05-24T19:18:00,sadashivanagar
99758807a209,12.946678,77.595491,murder,2022-05-08T10:47:00,wilson garden
ad0d4450f5d4,12.974214,77.604929,murder,2022-05-10T04:10:00,brigade road
